country,year,Label,C10-S951_X_K,C,D_E,F,G,H,I,ICT,J,N,10-49,50-249,GE10,GE250
DK,2020,lack of work experience,0.023354,0.016357985,0.013164,0,0.012007,0.011489993,0,0.15465,0.166048881,0.007127,0.015486993,0.03867297,0.023354,0.155173
DK,2020,salary expectations too high,0.016678985,0.00694,0.013704993,0,0.008817993,0.010628,0.000892,0.10912494,0.11928194,0.009661,0.011493,0.026921985,0.016678985,0.102817
EE,2020,lack of applications,0.008846,0.005168,0.024589985,0,0.005241,0.003136,0,0.11503694,0.10910294,0,0.00534,0.016989985,0.008846,0.08176094
EE,2020,lack of ICT qualifications (training / education),0.009701,0.00458,0.024589985,0,0.004479996,0.003136,0.004479,0.11503694,0.11199794,0.009786993,0.006548996,0.014036,0.009701,0.09433994
EE,2020,lack of work experience,0.008737993,0.00458,0.024589985,0,0.005241,0.003136,0.004479,0.104099,0.10162394,0,0.005209996,0.015021,0.008737993,0.09433994
EE,2020,salary expectations too high,0.008133993,0.003990996,0.024589985,0,0.006001996,0.003136,0.004479,0.094534,0.08965694,0,0.004481,0.016005,0.008133993,0.08804994
EL,2020,lack of applications,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA
EL,2020,lack of ICT qualifications (training / education),NA,NA,0.002725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EL,2020,lack of work experience,NA,NA,0.002725,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
EL,2020,salary expectations too high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ES,2020,lack of applications,0.004782,0.002906998,0.004201,0.000251,0.001155999,0.006846,0.001413,0.03564097,0.030746,0.009307993,0.003438,0.007963993,0.004782,0.030251
ES,2020,lack of ICT qualifications (training / education),0.005895,0.003676,0.008341,0.002285998,0.002871,0.009321993,0.001475999,0.04748997,0.03329497,0.008265993,0.004571,0.008449993,0.005895,0.03398597
ES,2020,lack of work experience,0.005641,0.003796998,0.009041,0.002478998,0.002990998,0.009400993,0.00049,0.03408497,0.020231985,0.009427993,0.003658998,0.010726,0.005641,0.041136
ES,2020,salary expectations too high,0.005383,0.003416998,0.008480993,0.000396,0.00177,0.003243,0.001769,0.03561997,0.035049,0.011092,0.003356998,0.010250993,0.005383,0.043355
FI,2020,lack of applications,0.020672985,0.019864,0.030953985,0.012958,0.006759996,0.004201,NA,0.135049,0.134589,0.006371,0.014023,0.036483,0.020672985,0.12362294
FI,2020,lack of ICT qualifications (training / education),0.020874985,NA,0.021967985,0.010703993,0.010382,0.004201,NA,0.136012881,0.135234,0.008006,0.014019993,0.03785797,0.020874985,0.123692
FI,2020,lack of work experience,0.026616985,NA,0.028565985,0.002957,0.011470993,0.009302,NA,0.177733881,0.179686881,0.03502097,0.013973,0.06944894,0.026616985,0.160862
FI,2020,salary expectations too high,0.01851,0.018368985,0.028565985,0.002951998,0.005997,0.005600996,NA,0.133261881,0.13701,0.008006,0.010988,0.03621897,0.01851,0.13577
FR,2020,lack of applications,0.007358,0.007032,0.009444,0.000463,0.002871,0.005356996,0.001367,0.07165894,0.06688294,0.003123998,0.004451996,0.010667993,0.007358,0.08291194
FR,2020,lack of ICT qualifications (training / education),0.004281,0.002031998,0.008926,0.000311,0.000872,0.005652,0.000287,0.04453897,0.04108497,0.001205999,0.002484,0.009317993,0.004281,0.03700897
FR,2020,lack of work experience,0.004959996,0.004754,0.008358993,0.000259,0.001079,0.006288996,0.001244999,0.042738,0.039058,0.002099,0.002548,0.012073993,0.004959996,0.047243
FR,2020,salary expectations too high,0.006576996,0.003617,0.011288993,0.000205,0.001642999,0.011108993,0.001251999,0.06449794,0.06062697,0.004924,0.004132,0.011382,0.006576996,0.060693
HR,2020,lack of applications,0.008563,0.001030999,0,0,0.001652,0,NA,0.116914,0.12302194,NA,0.006642996,0.010504,0.008563,0.04188397
HR,2020,lack of ICT qualifications (training / education),0.010566993,0.001455,0,0,0.001652,NA,0,0.146091,0.156979,NA,0.008733,0.011691993,0.010566993,0.04535197
HR,2020,lack of work experience,0.011774993,0.00111,0,0,0.001652,NA,0,0.167604881,0.179269,NA,0.010823993,0.01045,0.011774993,0.037599
HR,2020,salary expectations too high,0.006474,0.001455,0,0,0.006220996,NA,NA,0.06691294,0.07267,NA,0.004513,0.007202,0.006474,0.04562997
HU,2020,lack of applications,0.003488998,0.004366,0,0.000206,0.001525,0.004647996,0,0.039143,0.03759,0.000374,0.001742999,0.006270996,0.003488998,0.044745
HU,2020,lack of ICT qualifications (training / education),0.003509998,0.003823,0.002421,0.000206,0.002488998,0.005028996,0.000299,0.026478985,0.026349985,0.001120999,0.001859,0.006325,0.003509998,0.041623
HU,2020,lack of work experience,0.004782996,0.004199,0,0.000206,0.002673998,0.005028996,0.000896,0.042951,0.04610097,0.001588,0.002666998,0.008668,0.004782996,0.05228897
HU,2020,salary expectations too high,0.005363,0.003677,0.002421,0.000206,0.003314,0.005792,0.002045,0.049471,0.05348497,0.002336,0.003305,0.008121,0.005363,0.05645197
LU,2020,lack of applications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU,2020,lack of ICT qualifications (training / education),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU,2020,lack of work experience,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU,2020,salary expectations too high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LV,2020,lack of applications,0.006019,0.003767998,0,0.000674,0.004697,0.004711996,0,0.080992,0.06747894,0.008468993,0.003385998,0.008067993,0.006019,0.079237
LV,2020,lack of ICT qualifications (training / education),0.006123,0.003229,0,0.000674,0.004697,0.00377,0,0.080992,0.072198,0.010392993,0.003385998,0.008067993,0.006123,0.083408
LV,2020,lack of work experience,0.005402996,0.002153,0,0.000674,0.003696998,0.004711996,0,0.074282,0.063711,0.010392993,0.002632,0.008722,0.005402996,0.075067
LV,2020,salary expectations too high,0.005717996,0.002690998,0,0.000674,0.002857,0.004711996,0,0.06731194,0.06511894,0.016936985,0.002712998,0.010290993,0.005717996,0.075067
MT,2020,lack of applications,0.029432,0.017341985,NA,0,0.025403985,0.023054985,0.003941,0.166729881,0.134818,0.00977,0.016965985,0.07135194,0.029432,0.12882
MT,2020,lack of ICT qualifications (training / education),0.028710985,0.014073,NA,0,0.025416985,0.023054985,0.003941,0.178649881,0.146205881,0.005530996,0.019498985,0.05967097,0.028710985,0.10224294
MT,2020,lack of work experience,0.03858497,0.028464985,NA,0.009499,0.029952985,0.023021,0.003941,0.205259881,0.171624881,0.014043993,0.023139,0.08933494,0.03858497,0.168085
MT,2020,salary expectations too high,0.038139,0.025195985,NA,0.009499,0.027972,0.03392397,0,0.206968881,0.173258,0.014043993,0.023387,0.083084,0.038139,0.180725
NL,2020,lack of applications,0.022366985,0.010069993,0.06256294,0.006279,0.017915,0.01417,0.000456,0.11378394,0.116327,0.012058993,0.014431,0.03577697,0.022366985,0.137659
NL,2020,lack of ICT qualifications (training / education),0.024134,0.011163,0.068833,0.006561,0.017576,0.015113993,0,0.126632881,0.131555881,0.011462993,0.015229993,0.03880697,0.024134,0.155340881
NL,2020,lack of work experience,0.018954985,0.008552,0.05879097,0.002411998,0.014966993,0.010736993,0.000201,0.10401,0.10301594,0.009292,0.012441993,0.028404,0.018954985,0.121202
NL,2020,salary expectations too high,0.015122,0.008196,0.052728,0.005264996,0.013225993,0.008865,0.000456,0.07851594,0.07666194,0.009634993,0.009352,0.024289,0.015122,0.101829
PL,2020,lack of applications,0.002617,0.001498999,0.002057,0.000145,0.001452999,0.000871,0.000257,0.041542,0.044583,0.001715,0.001310999,0.003379998,0.002617,0.030942985
PL,2020,lack of ICT qualifications (training / education),0.002726,0.001732999,0.002057,7.20E-05,0.001375,0.000763,0.000493,0.04231097,0.04404797,0.000941,0.001115,0.003886,0.002726,0.036587
PL,2020,lack of work experience,0.004770996,0.003098998,0.003710998,0.000145,0.003372998,0.001301,0.000493,0.071593,0.076181,0.002279998,0.002000998,0.008038,0.004770996,0.05747
PL,2020,salary expectations too high,0.005152,0.00295,0.003710998,0.000145,0.004072996,0.001515999,0.00075,0.08130294,0.082752,0.002656,0.002365998,0.008328,0.005152,0.05866997
PT,2020,lack of applications,0.006229,0.003181,0.023546,0.000266,0.002531,0.00757,0.007122,0.09195194,0.113854,0.002154998,0.002432998,0.017654985,0.006229,0.067688
PT,2020,lack of ICT qualifications (training / education),0.004281,0.002993998,0.00554,0,0.006022996,0.00757,0,0.034695,0.047703,0.001437,0.00219,0.007035996,0.004281,0.05915697
PT,2020,lack of work experience,0.00478,0.003054998,0.020775985,0,0.006876,0.004056996,0.002088,0.04129,0.05207597,0.001437,0.002316,0.008938,0.00478,0.06402294
PT,2020,salary expectations too high,0.007297996,0.004692996,0.020775985,0.000266,0.007806,0.008154,0.002088,0.10056094,0.112484,0.002154998,0.003955,0.017272,0.007297996,0.061941
SE,2020,lack of applications,0.011773,0.01033,0.011281,0.000543,0.009253993,0.005283996,0,0.077778,0.08112494,0.006197996,0.006348,0.022761985,0.011773,0.12071494
SE,2020,lack of ICT qualifications (training / education),0.011245993,0.011842,0.025917,0.000736,0.010841,0.003682998,0,0.06950794,0.07087294,0.009376993,0.005018996,0.027198985,0.011245993,0.11946594
SE,2020,lack of work experience,0.01236,0.010943993,0.023821,0.000736,0.011011,0.004102,0,0.08681994,0.090979,0.009376993,0.006118996,0.028313,0.01236,0.120985
SE,2020,salary expectations too high,0.009091993,0.005737996,0.026117,0.00035,0.006208996,0.003682998,0,0.07097494,0.07995194,0.006077996,0.004203996,0.019186985,0.009091993,0.106245
SI,2020,lack of applications,0.008834,NA,NA,0,0.005709,NA,NA,0.12182294,0.136853,0,0.006812996,0.007228996,0.008834,0.07524094
SI,2020,lack of ICT qualifications (training / education),0.00756,NA,NA,0,NA,NA,NA,0.10455594,0.117457,0,0.005933996,0.006996,0.00756,0.05730497
SI,2020,lack of work experience,0.010546,NA,0.05263197,0,NA,NA,NA,0.129736,0.145744,0,0.006920996,0.011893,0.010546,0.106299
SI,2020,salary expectations too high,0.009422,NA,0.07381294,0,0.006504,NA,NA,0.091607,0.10290894,0,0.005825996,0.011893,0.009422,0.09711294
SK,2020,lack of applications,0.003732,0.004107996,0,0,0.000589,0,0,0.045939,0.05748397,0,0.001273,0.008029,0.003732,0.034593
SK,2020,lack of ICT qualifications (training / education),0.005025996,0.004642996,0,0,0.003731,0.000786,0,0.04237,0.050975,0.007485,0.002651998,0.008029,0.005025996,0.03988197
SK,2020,lack of work experience,0.003948996,0.002193998,0,0,0.003437,0,0,0.03605297,0.04284697,0.007485,0.002651998,0.004098,0.003948996,0.02959
SK,2020,salary expectations too high,0.004431996,0.004385996,0.003268,0,0.000589,0.000786,0,0.04341697,0.05232197,0.008314,0.002151,0.008029,0.004431996,0.03478797
EU27_2020,2020,lack of applications,0.009882993,0.007819,0.014156,0.001753,0.006874,0.006063996,0.001114,0.082523,0.079556,0.006936,0.005673,0.01862,0.009882993,0.084538
EU27_2020,2020,lack of ICT qualifications (training / education),0.009798993,0.00739,0.014122993,0.002191,0.006615996,0.006927,0.000738,0.077131,0.077047,0.007819,0.005519,0.019614,0.009798993,0.08110094
EU27_2020,2020,lack of work experience,0.009156993,0.006986,0.013878993,0.001890999,0.006111,0.006663,0.000635,0.07205,0.07152394,0.008256993,0.004929996,0.019021985,0.009156993,0.07874194
EU27_2020,2020,salary expectations too high,0.008957,0.005845,0.014455,0.001034999,0.006913996,0.006532,0.000946,0.074507,0.074344,0.008734993,0.004989996,0.017582,0.008957,0.077374
