"Gender","Age","Modes","Travel motifs","Margins","Periods","Rides per person per day (average) (number)","Distance travelled per trip (average) (km)","Travel time per trip (Minutes)"
"Total men and women","18 to 25 years","Bicycle","Shopping, shopping","Lower limit 95% interval","2023*","0,11","1,83","10,93"
"Total men and women","18 to 25 years","Bicycle","Shopping, shopping","Upper limit 95% interval","2023*","0,13","2,06","12,11"
"Total men and women","18 to 25 years","Bicycle","Education, course, childcare","Value","2023*","0,15","3,33","17,11"
"Total men and women","18 to 25 years","Bicycle","Education, course, childcare","Lower limit 95% interval","2023*","0,14","3,13","16,19"
"Total men and women","18 to 25 years","Bicycle","Education, course, childcare","Upper limit 95% interval","2023*","0,16","3,54","18,07"
"Total men and women","18 to 25 years","Bicycle","Leisure","Value","2023*","0,31","3,58","22,47"
"Total men and women","18 to 25 years","Bicycle","Leisure","Lower limit 95% interval","2023*","0,30","3,40","21,29"
"Total men and women","18 to 25 years","Bicycle","Leisure","Upper limit 95% interval","2023*","0,33","3,75","23,46"
"Total men and women","18 to 25 years","Bicycle","Other travel motives","Value","2023*","0,06","2,66","14,99"
"Total men and women","18 to 25 years","Bicycle","Other travel motives","Lower limit 95% interval","2023*","0,06","2,47","14,00"
"Total men and women","18 to 25 years","Bicycle","Other travel motives","Upper limit 95% interval","2023*","0,07","2,87","15,98"
"Total men and women","25 to 30 years","Bicycle","Total","Value","2023*","0,70","3,46","19,48"
"Total men and women","25 to 30 years","Bicycle","Total","Lower limit 95% interval","2023*","0,67","3,33","18,83"
"Total men and women","25 to 30 years","Bicycle","Total","Upper limit 95% interval","2023*","0,72","3,57","20,14"
"Total men and women","25 to 30 years","Bicycle","To and from work","Value","2023*","0,20","3,92","18,23"
"Total men and women","25 to 30 years","Bicycle","To and from work","Lower limit 95% interval","2023*","0,19","3,69","17,35"
"Total men and women","25 to 30 years","Bicycle","To and from work","Upper limit 95% interval","2023*","0,22","4,14","19,15"
"Total men and women","25 to 30 years","Bicycle","Shopping, shopping","Value","2023*","0,12","1,88","11,47"
"Total men and women","25 to 30 years","Bicycle","Shopping, shopping","Lower limit 95% interval","2023*","0,11","1,78","10,90"
"Total men and women","25 to 30 years","Bicycle","Shopping, shopping","Upper limit 95% interval","2023*","0,13","2,00","12,08"
"Total men and women","25 to 30 years","Bicycle","Education, course, childcare","Value","2023*","0,03","3,20","17,04"
"Total men and women","25 to 30 years","Bicycle","Education, course, childcare","Lower limit 95% interval","2023*","0,03","2,93","15,83"
"Total men and women","25 to 30 years","Bicycle","Education, course, childcare","Upper limit 95% interval","2023*","0,04","3,48","18,32"
"Total men and women","25 to 30 years","Bicycle","Leisure","Value","2023*","0,27","4,10","25,83"
"Total men and women","25 to 30 years","Bicycle","Leisure","Lower limit 95% interval","2023*","0,25","3,87","24,51"
"Total men and women","25 to 30 years","Bicycle","Leisure","Upper limit 95% interval","2023*","0,28","4,32","27,21"
"Total men and women","25 to 30 years","Bicycle","Other travel motives","Value","2023*","0,07","2,55","14,15"
"Total men and women","25 to 30 years","Bicycle","Other travel motives","Lower limit 95% interval","2023*","0,06","2,33","13,07"
"Total men and women","25 to 30 years","Bicycle","Other travel motives","Upper limit 95% interval","2023*","0,08","2,76","15,27"
"Total men and women","30 to 40 years","Bicycle","Total","Value","2023*","0,69","3,29","18,28"
"Total men and women","30 to 40 years","Bicycle","Total","Lower limit 95% interval","2023*","0,67","3,19","17,75"
"Total men and women","30 to 40 years","Bicycle","Total","Upper limit 95% interval","2023*","0,71","3,40","18,83"
"Total men and women","30 to 40 years","Bicycle","To and from work","Value","2023*","0,17","4,35","19,26"
"Total men and women","30 to 40 years","Bicycle","To and from work","Lower limit 95% interval","2023*","0,16","4,11","18,44"
"Total men and women","30 to 40 years","Bicycle","To and from work","Upper limit 95% interval","2023*","0,18","4,57","20,19"
"Total men and women","30 to 40 years","Bicycle","Shopping, shopping","Value","2023*","0,13","1,91","11,32"
"Total men and women","30 to 40 years","Bicycle","Shopping, shopping","Lower limit 95% interval","2023*","0,12","1,81","10,78"
"Total men and women","30 to 40 years","Bicycle","Shopping, shopping","Upper limit 95% interval","2023*","0,14","2,00","11,86"
"Total men and women","30 to 40 years","Bicycle","Education, course, childcare","Value","2023*","0,01","3,04","16,92"
"Source: CBS."
