Accident_ID,Party_Type,Province,Intersection_ID,Year,Main_Road_Type,Urban_Access_Road_Type,Residential_Road_Type,Intersection_Type,Road_Segment_Number,Road_Structure_Type,Pavement_Type,Surface_Type
20230083240,SPEED PEDELEC,Gelderland,,2023,,,,,,G,PKP,
20230078815,FATBIKE,Noord-Holland,,2023,,,,,,G,PKP,
20230078840,FATBIKE,Zuid-Holland,600280359.0,2023,N,J,N,,,G,PKP,
20230076472,FATBIKE,Noord-Holland,600154843.0,2023,N,J,N,K,600053922.0,G,NRB,
20230078869,FATBIKE,Noord-Holland,242374293.0,2023,N,J,N,K,242374281.0,G,RB,
20230081266,FATBIKE,Zuid-Holland,600181365.0,2023,N,J,N,K,178260108.0,G,FP,
20230083846,FAT BIKE,Friesland,,2023,,,,,,G,PKP,
20230084114,SPEED PEDELEC,Noord-Holland,,2023,,,,,,G,PKP,
20230084127,FATBIKE,Noord-Holland,600151567.0,2023,N,J,N,K,234438158.0,G,FP,
20230084148,FATBIKE,Noord-Holland,600154665.0,2023,N,J,N,K,209381047.0,G,RB,
20230084184,FATBIKE,Utrecht,600249666.0,2023,N,J,N,K,308343088.0,P,FP,
20230084253,FATBIKE,Utrecht,600225608.0,2023,N,J,N,K,268317028.0,G,NRB,
20230089118,FATBIKE,Zuid-Holland,600176644.0,2023,N,J,N,K,185282018.0,G,RB,O
20230086760,FATBIKE,Zuid-Holland,151294076.0,2023,N,J,N,,,G,PKP,
20230094503,FATBIKE,Gelderland,388340018.0,2023,N,J,N,K,388340018.0,G,FP,
20230089466,FATBIKE,Zuid-Holland,600275182.0,2023,N,J,N,K,159298034.0,G,FP,
20230087209,FATBIKE,Noord-Holland,237388004.0,2023,N,J,N,,,G,PKP,
20230087253,FATBIKE,Noord-Holland,600150413.0,2023,N,J,N,,,G,PKP,
20230092499,FATBIKE,Noord-Brabant,600306599.0,2023,N,J,N,K,299229283.0,G,FP,
20230087700,FATBIKE,Noord-Holland,600154772.0,2023,N,J,N,K,209373200.0,G,RB,
20230087748,FATBIKE,Noord-Holland,600151135.0,2023,N,J,N,K,235389119.0,G,FP,
20230090054,FATBIKE,Zuid-Holland,600186857.0,2023,N,J,N,K,195350112.0,G,FP,
20230087821,FATBIKE,Noord-Holland,241377110.0,2023,N,J,N,K,241377110.0,G,RB,
20230085739,FATBIKE,Noord-Holland,600251880.0,2023,N,J,N,K,281351055.0,G,FP,
20230085779,FATBIKE,Gelderland,600204979.0,2023,N,J,N,K,469316007.0,G,RB,
20230088136,FATBIKE,Noord-Holland,241375010.0,2023,N,J,N,,,G,PKP,
20230088167,FATBIKE,Noord-Holland,,2023,,,,,,G,PKP,
20230090561,FATBIKE,Zuid-Holland,206269014.0,2023,N,J,N,,,G,PKP,
20230086198,FATBIKE,Utrecht,272306129.0,2023,N,J,N,K,272306010.0,G,RB,
20230091033,FATBIKE,Noord-Brabant,,2023,,,,,,G,PKP,
20230093506,FATBIKE,Friesland,346520031.0,2023,N,J,N,,,G,PKP,
20230086281,SPEEDPEDELEC,Overijssel,,2023,,,,,,G,PKP,
20230086505,FATBIKE,Zuid-Holland,186304088.0,2023,N,J,N,,,G,PKP,
20230093811,FATBIKE,Groningen,600269009.0,2023,N,J,N,K,495549001.0,G,RB,
20230103590,FATBIKE,Zuid-Holland,600425428.0,2023,N,J,N,K,188276134.0,G,RB,
20230103728,SPEED PEDELEC,Zuid-Holland,600426678.0,2023,N,J,N,K,182271107.0,G,RB,
20230103910,FATBIKE,Overijssel,504352088.0,2023,N,J,N,K,504352056.0,G,RB,
20230101848,FATBIKE,Zuid-Holland,600274973.0,2023,N,J,N,K,157310029.0,G,FP,
20230101865,FATBIKE,Zuid-Holland,600173020.0,2023,N,J,N,K,158310078.0,G,FP,
20230097276,FATBIKE,Noord-Holland,600151181.0,2023,N,J,N,K,600100343.0,G,RB,
20230102087,FATBIKE,Zuid-Holland,600276918.0,2023,N,J,N,,,G,PKP,
20230097520,FATBIKE,Noord-Holland,600151438.0,2023,N,J,N,K,237442106.0,G,FP,
20230104357,FATBIKE,Drenthe,600263226.0,2023,N,J,N,K,456452056.0,G,FP,
20230095344,FATBIKE,Noord-Holland,600186944.0,2023,N,J,N,K,194376117.0,G,FP,
20230097729,FATBIKE,Noord-Holland,600147495.0,2023,N,J,N,K,246377229.0,G,FP,
20230097976,FATBIKE,Noord-Holland,236374090.0,2023,N,J,N,K,236374090.0,G,FP,
20230097997,FATBIKE,Noord-Holland,600148030.0,2023,N,J,N,K,241371032.0,G,RB,Z
20230098126,FATBIKE,Noord-Holland,600154198.0,2023,N,J,N,K,211402070.0,G,FP,
20230095840,FATBIKE,Utrecht,,2023,,,,,,G,PKP,
20230095935,SPEEDPEDELEC,Utrecht,,2023,,,,,,G,PKP,
20230096010,FATBIKE,Utrecht,,2023,,,,,,G,PKP,
20230103165,FATBIKE,Zuid-Holland,229252186.0,2023,N,J,J,K,229252064.0,G,FP,
20230096154,FATBIKE,Utrecht,263312024.0,2023,N,J,N,K,263312024.0,G,FP,
20230103332,SPEEDPEDELEC,Zuid-Holland,203254101.0,2023,N,J,N,K,203254096.0,G,RB,
20230103358,SPEED PEDELEC,Zuid-Holland,,2023,,,,,,G,PKP,
20230096458,FATBIKE,Utrecht,311328029.0,2023,N,J,N,K,311328029.0,G,RB,
20230106025,SPEED PEDELEC,Overijssel,,2023,,,,,,G,PKP,
20230108566,FATBIKE,Noord-Holland,600254379.0,2023,N,J,N,K,277355130.0,G,FP,
20230108941,SPEED PEDELEC,Utrecht,600248839.0,2023,N,J,N,K,318324003.0,G,RB,
20230108956,FATBIKE,Flevoland,600250976.0,2023,N,J,N,K,296380037.0,G,RB,
20230111378,FATBIKE,Noord-Holland,224399059.0,2023,N,J,N,K,224399006.0,G,FP,
20230112047,FATBIKE,Noord-Holland,,2023,,,,,,G,PKP,
20230104990,FATBIKE,Gelderland,385291076.0,2023,N,J,N,K,385291031.0,G,RB,
20230112416,SPEED PEDELEC,Zuid-Holland,,2023,,,,,,G,PKP,
20230112592,SPEED PEDELEC,Zuid-Holland,184326173.0,2023,N,J,N,K,184326060.0,G,PAR,
20230112702,SPEED PEDELEC,Zuid-Holland,209321101.0,2023,N,J,N,K,209321101.0,G,RB,
20230110280,FATBIKE,Noord-Brabant,600219622.0,2023,N,J,N,K,324174122.0,G,FP,
20230112781,SPEED PEDELEC,Zuid-Holland,600185473.0,2023,N,J,N,K,180327030.0,G,RB,
