Accident_ID,Party_Type,Province,Intersection_ID,Year,Main_Road_Type,Urban_Access_Road_Type,Residential_Road_Type,Intersection_Type,Road_Segment_Number,Pavement_Type,Surface_Type,Road_Structure_Type
20230059750,FATBIKE,Noord-Holland,600285356.0,2023,N,J,N,K,206369088.0,RB,O,G
20230059995,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230060005,FATBIKE,Noord-Holland,240372137.0,2023,N,J,N,K,240372134.0,RB,N,G
20230067168,FATBIKE,Noord-Holland,600147799.0,2023,N,J,N,K,245372134.0,FP,,G
20230067749,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230075300,FATBIKE,Noord-Holland,250404291.0,2023,N,J,N,K,250404140.0,RB,,G
20230075408,FATBIKE,Noord-Holland,249405186.0,2023,N,J,N,K,249405044.0,RB,,G
20230075456,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230075866,FATBIKE,Noord-Holland,600144438.0,2023,N,N,N,,,PKP,,G
20230066088,FATBIKE,Noord-Holland,600255262.0,2023,N,J,N,K,266435111.0,FP,,G
20230066410,FATBIKE,Noord-Holland,600156061.0,2023,N,J,N,K,204379028.0,FP,,G
20230066415,FATBIKE,Noord-Holland,240374082.0,2023,N,J,N,K,240374078.0,RB,O,G
20230066750,FATBIKE,Noord-Holland,600151563.0,2023,N,J,N,,,PKP,,G
20230067016,FATBIKE,Noord-Holland,600154463.0,2023,N,J,N,K,209383091.0,RB,O,G
20230077936,FATBIKE,Noord-Holland,227371048.0,2023,N,J,N,K,227371048.0,RB,O,G
20230078264,FATBIKE,Noord-Holland,236357026.0,2023,N,J,N,K,236357026.0,RB,,G
20230078313,FATBIKE,Noord-Holland,237366072.0,2023,N,J,N,K,237366072.0,RB,,G
20230078337,SPEEDPEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230076047,FATBIKE,Noord-Holland,600255242.0,2023,N,J,N,K,264434069.0,FP,,G
20230076085,FATBIKE,Noord-Holland,600154751.0,2023,N,J,N,K,210371028.0,FP,,G
20230076133,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230078815,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230076472,FATBIKE,Noord-Holland,600154843.0,2023,N,J,N,K,600053922.0,NRB,,G
20230078869,FATBIKE,Noord-Holland,242374293.0,2023,N,J,N,K,242374281.0,RB,,G
20230084114,SPEED PEDELEC,Noord-Holland,,2023,,,,,,PKP,,G
20230084127,FATBIKE,Noord-Holland,600151567.0,2023,N,J,N,K,234438158.0,FP,,G
20230084148,FATBIKE,Noord-Holland,600154665.0,2023,N,J,N,K,209381047.0,RB,,G
20230087209,FATBIKE,Noord-Holland,237388004.0,2023,N,J,N,,,PKP,,G
20230087253,FATBIKE,Noord-Holland,600150413.0,2023,N,J,N,,,PKP,,G
20230087700,FATBIKE,Noord-Holland,600154772.0,2023,N,J,N,K,209373200.0,RB,,G
20230087748,FATBIKE,Noord-Holland,600151135.0,2023,N,J,N,K,235389119.0,FP,,G
20230087821,FATBIKE,Noord-Holland,241377110.0,2023,N,J,N,K,241377110.0,RB,,G
20230085739,FATBIKE,Noord-Holland,600251880.0,2023,N,J,N,K,281351055.0,FP,,G
20230088136,FATBIKE,Noord-Holland,241375010.0,2023,N,J,N,,,PKP,,G
20230088167,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
20230097276,FATBIKE,Noord-Holland,600151181.0,2023,N,J,N,K,600100343.0,RB,,G
20230097520,FATBIKE,Noord-Holland,600151438.0,2023,N,J,N,K,237442106.0,FP,,G
20230095344,FATBIKE,Noord-Holland,600186944.0,2023,N,J,N,K,194376117.0,FP,,G
20230097729,FATBIKE,Noord-Holland,600147495.0,2023,N,J,N,K,246377229.0,FP,,G
20230097976,FATBIKE,Noord-Holland,236374090.0,2023,N,J,N,K,236374090.0,FP,,G
20230097997,FATBIKE,Noord-Holland,600148030.0,2023,N,J,N,K,241371032.0,RB,Z,G
20230098126,FATBIKE,Noord-Holland,600154198.0,2023,N,J,N,K,211402070.0,FP,,G
20230108566,FATBIKE,Noord-Holland,600254379.0,2023,N,J,N,K,277355130.0,FP,,G
20230111378,FATBIKE,Noord-Holland,224399059.0,2023,N,J,N,K,224399006.0,FP,,G
20230112047,FATBIKE,Noord-Holland,,2023,,,,,,PKP,,G
